clip_name,n_annotators,video_id,embed_code,youtube_url,descriptions,interest,alarm,confusion,understanding,frustration,relief,sorrow,joy,anger,gratitude,fear,hope,boredom,surprise,disgust,desire
anim_bored_01,2,701,HyelmFB4sMA,https://www.youtube.com/watch?v=HyelmFB4sMA,The robot moves back quickly. | He bowed its head down and backed up a little,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
anim_bored_02,2,689,cHqt8O-fS10,https://www.youtube.com/watch?v=cHqt8O-fS10,The robot blinks and scoots backwards. | looks down and sighs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
anim_bored_event_01,2,700,5D1jA7sRAPg,https://www.youtube.com/watch?v=5D1jA7sRAPg,"The robot speaks and nods its head. | He bowed his head, and lifted it up, and moved around a bit",0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
anim_bored_event_02,2,688,hoLpvZlqgAY,https://www.youtube.com/watch?v=hoLpvZlqgAY,The robot's eyes become a pendulum. He appears bored. | the HUD displays a swinging pendulum,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
anim_bored_event_03,2,699,2jOQe6LIcnw,https://www.youtube.com/watch?v=2jOQe6LIcnw,"The robot nods its head multiple times. | he bowed his head and moved it up a bit, and started moving around a bit",0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anim_bored_event_04,2,687,dvlalRh_AN8,https://www.youtube.com/watch?v=dvlalRh_AN8,"The robot lifts his 'arms' and emulates a slot machine. | slams ground with arms and the eyes start playing a slot-casino type game, slamming the ground with its arms",0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anim_bored_getout_01,2,698,JAteZrm-yQU,https://www.youtube.com/watch?v=JAteZrm-yQU,"It puts its head down and moves forward. | He bowed his head, and moved forward a bit",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
anim_bored_getout_02,2,686,Kp19PV1pnoE,https://www.youtube.com/watch?v=Kp19PV1pnoE,"The robot blinks, lifts his head, opens eyes widely, and scoots back. Honestly this was really endearing. | moves back wards quickly, looking upward",0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
anim_bouncer_getin_01,3,697,08qhq9mwnvw,https://www.youtube.com/watch?v=08qhq9mwnvw,"The robot slightly turns to the left and turns on a light from its back. | He moved around a little, and closed its eyes | enjoy",0.667,0.333,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0
anim_bouncer_getout_01,2,685,Z-QzdOO3V4w,https://www.youtube.com/watch?v=Z-QzdOO3V4w,"The robot blinks, moves forward an inch, appears to be stuck, and turns to the left. | moves forward suddenly, tilting to the right",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
anim_bouncer_ideatoplay_01,3,696,D1aWk9ufvFM,https://www.youtube.com/watch?v=D1aWk9ufvFM,The robot jumps as if it was startled. | He slammed his arms up and down quickly | very nice,0.333,0.667,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0
anim_bouncer_intoscore_01,2,684,umlVK1nfWTs,https://www.youtube.com/watch?v=umlVK1nfWTs,"The robot woke up, backed up a little, and then looked up. | this robot is good of activies is interest",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
anim_bouncer_intoscore_02,2,695,tmwPcTpblIM,https://www.youtube.com/watch?v=tmwPcTpblIM,"The robot scoots back looking surprised, but then appears to be very happy. A greeting? | moves back, looks down, the eyes squint happily then form one solid horizontal line",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
anim_bouncer_intoscore_03,2,683,NZBXVhmW7vk,https://www.youtube.com/watch?v=NZBXVhmW7vk,"The robot backed up quickly, looked down, and then slowly raised its head. | this robot is understanding is looking for good",0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
